ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7
1,1,1162.821141,-,-,-,-,-,241.7629578,146.8880442,-,-,-,-,-,-,86.69724438,-,-,-,-,-,13.89,-1.232920215,-,-,-,-,241.7629578,146.8880442,1,1,-
2,1,1056.95777,-,-,-,-,-,260.5605347,144.819666,-,-,-,-,-,-,79.07569133,-,-,-,-,-,13.89,-1.092688159,-,-,-,-,260.5605347,144.819666,1,1,-
2,2,1046.550184,-,-,-,-,-,222.4918737,149.2129511,-,-,-,-,-,-,78.32640512,-,-,-,-,-,13.89,-1.092797355,-,-,-,-,222.4918737,149.2129511,2,2,-
3,1,960.5246796,-,-,-,-,-,242.8258377,162.6368891,-,-,-,-,-,-,72.13306426,-,-,-,-,-,13.89,-1.33919087,-,-,-,-,242.8258377,162.6368891,1,1,-
3,2,860.7365328,-,-,-,-,-,246.3726552,136.5319774,-,-,-,-,-,-,64.94889243,-,-,-,-,-,13.89,-0.85963973,-,-,-,-,246.3726552,136.5319774,2,2,-
3,3,915.9416056,-,-,-,-,-,277.4390175,135.3521262,-,-,-,-,-,-,68.92333971,-,-,-,-,-,13.89,-1.107973456,-,-,-,-,277.4390175,135.3521262,3,3,-
3,4,1030.23139,-,-,-,-,-,205.8569589,152.0472906,-,-,-,-,-,-,77.1515459,-,-,-,-,-,13.89,-0.898889735,-,-,-,-,205.8569589,152.0472906,4,4,-
4,1,684.4701375,-,-,-,-,-,282.4104774,157.6801255,-,-,-,-,-,-,52.25872718,-,-,-,-,-,13.89,-1.434250412,-,-,-,-,282.4104774,157.6801255,1,1,-
4,2,997.273902,-,-,-,-,-,222.4445586,153.3485911,-,-,-,-,-,-,74.77879662,-,-,-,-,-,13.89,-0.979420043,-,-,-,-,222.4445586,153.3485911,2,2,-
4,3,1017.8192,-,-,-,-,-,254.3874397,149.8401388,-,-,-,-,-,-,76.25793977,-,-,-,-,-,13.89,-0.948958139,-,-,-,-,254.3874397,149.8401388,3,3,-
